date,ETF,Predict_rend,TB3MS,Alfa,Accion,All,Inversion,open,high,low,close,volume,dividend,split,shares_owned,capital,valor_final
2020-01-02,IYR,0.0053998474,1.54,-0.0033222360536456115,-1,0,0.0,83.41878941006229,83.5080632910135,81.7761213936858,82.17786407470703,10936800,0.0,0.0,0,0,0.0
2020-01-02,SPY,0.007929167,1.54,-0.0007929166778922088,-1,0,0.0,302.8685442054266,304.13229636108446,301.9230655033524,304.1135559082031,59151200,0.0,0.0,0,0,0.0
2020-01-02,VOX,0.004750089,1.54,-0.003971994668245316,-1,0,0.0,90.7412388385573,91.27919006347656,90.395410957099,91.27919006347656,187700,0.0,0.0,0,0,0.0
2020-01-02,XLB,0.006879529,1.54,-0.0018425544723868377,-1,0,0.0,56.67092219613312,56.77174088712041,55.57104919180004,55.63520812988281,7357400,0.0,0.0,0,0,0.0
2020-01-02,XLE,0.003476416,1.54,-0.0052456674631685025,-1,0,0.0,49.68172740375341,49.87078721215856,49.50910798769012,49.79681015014648,11944700,0.0,0.0,0,0,0.0
2020-01-02,XLF,0.002814251,1.54,-0.005907832458615304,-1,0,0.0,28.332694764982858,28.50696563720703,28.250145496531623,28.50696563720703,28843300,0.0,0.0,0,0,0.0
2020-01-02,XLI,0.008006655,1.54,-0.0007154287770390517,-1,0,0.0,76.40174084730134,77.295654296875,76.19688434973793,77.295654296875,16121300,0.0,0.0,0,0,0.0
2020-01-02,XLK,0.011393169,1.54,0.002671085484325885,1,0,0.06012322902220374,88.85999676982266,89.71497344970703,88.68707972618496,89.71497344970703,13283500,0.0,0.0,67,0,6010.903221130371
2020-01-02,XLP,0.008298824,1.54,-0.0004232598468661315,-1,0,0.0,56.42534965575389,56.42534965575389,55.71891758413267,55.87093353271485,14460700,0.0,0.0,0,0,0.0
2020-01-02,XLU,0.007678471,1.54,-0.0010436124168336398,-1,0,0.0,56.47862536181136,56.49607295726433,55.46649174752217,55.675899505615234,19107700,0.0,0.0,0,0,0.0
2020-01-02,XLV,0.009068198,1.54,0.0003461141139268868,1,0,0.3124450621953894,95.50622588323372,95.61840176291534,94.78645026769118,95.46883392333984,6277400,0.0,0.0,327,0,31218.30869293213
2020-01-02,XLY,0.0099118445,1.54,0.0011897610500454896,1,0,0.627431708782407,121.66472080356009,122.33951568603516,121.19236953407024,122.33951568603516,6295500,0.0,0.0,512,0,62637.83203125
2020-02-03,IYR,0.0054649855,1.52,-0.003199497982859612,-1,0,0.0,84.55257869814677,85.32034630441979,84.41866447637166,84.68649291992188,10799800,0.0,0.0,0,0,0.0
2020-02-03,SPY,0.007876803,1.52,-0.0007876803167164333,-1,0,0.0,302.6907057234583,305.3211684667299,302.569007040968,303.4114990234375,69083000,0.0,0.0,0,0,0.0
2020-02-03,VOX,0.0047621536,1.52,-0.0039023298770189292,-1,0,0.0,91.52894934897148,92.2590311911562,91.52894934897148,91.90359497070312,60000,0.0,0.0,0,0,0.0
2020-02-03,XLB,0.0064361366,1.52,-0.0022283469326794154,-1,0,0.0,53.02299723550126,54.16869729241701,52.97716993250445,53.93039321899414,12160600,0.0,0.0,0,0,0.0
2020-02-03,XLE,0.002719635,1.52,-0.005944848572835327,-1,0,0.0,43.87017984780631,43.93594141398139,43.19613947293208,43.35232162475586,21289200,0.0,0.0,0,0,0.0
2020-02-03,XLF,0.0026263653,1.52,-0.0060381182003766305,-1,0,0.0,27.672306060791016,27.947469159397247,27.653961387698786,27.672306060791016,40168200,0.0,0.0,0,0,0.0
2020-02-03,XLI,0.007926815,1.52,-0.0007376682944595821,-1,0,0.0,75.93615893957487,76.56934850818855,75.41470410976848,75.4985122680664,15676600,0.0,0.0,0,0,0.0
2020-02-03,XLK,0.011569786,1.52,0.00290530240163207,1,0,0.5014430322375789,91.68432980063436,93.01963113344236,91.57865783940474,92.78907012939452,12537800,0.0,0.0,67,0,6216.867698669433
2020-02-03,XLP,0.008267347,1.52,-0.00039713671430945466,-1,0,0.0,56.70255764281202,56.917172199512585,56.45217683598024,56.49688720703125,21797600,0.0,0.0,0,0,0.0
2020-02-03,XLU,0.008042051,1.52,-0.0006224320270121105,-1,0,0.0,60.28284008448421,60.44862221501057,60.14323933523635,60.37881851196289,13547900,0.0,0.0,0,0,0.0
2020-02-03,XLV,0.008840431,1.52,0.00017594797536730697,1,0,0.26958716448740777,93.31884192393704,94.18818530644828,93.31884192393704,93.51514434814452,11850600,0.0,0.0,327,0,30579.452201843258
